pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits,branch
39611638,26543,useful,MartijnCuppens,1526782911,1,4,1,0.5507602880658435,61.08881790123456,154,v4-dev
39592520,26540,useful,MartijnCuppens,1526715585,1,23,2,6.668963863168727,62.4221774691358,154,v4-dev
39590767,26539,useful,MartijnCuppens,1526711503,1,2,1,0.5599434156378601,62.50301954732508,154,v4-dev
39588554,26538,useful,MartijnCuppens,1526705902,1,11,2,6.693868698559672,62.61394470164615,154,v4-dev
39581415,26536,useless,namiltd,1526684183,1,7,1,0,63.044079218107,154,v4-dev
39476496,26529,useless,pvollenweider,1526519641,1,57,2,4.155308513374486,65.29697530864198,155,v4-dev
39385095,26521,useful,Varunram,1526381596,1,2,1,0.6023697273662552,67.04442644032927,154,v4-dev
39352868,26517,useful,ysds,1526338811,1,2,1,1.245236239711934,66.88785198045264,154,v4-dev
39280354,26510,useless,tbodt,1526226851,1,2,1,0.622270061728395,69.11513052983534,155,v4-dev
39209619,26493,useful,parammittal16,1526033358,2,72,11,7.796829989711935,73.13967451131695,166,v4-dev
39173771,26488,useful,ysds,1525981289,1,5,2,8.617825617283952,74.25122980967078,166,v4-dev
39155529,26481,useless,mohammadayoub96,1525950346,250,7958,153,52.553533950617336,74.9141044238683,167,v4-dev
39125357,26475,useless,hualuomoli,1525906731,1,2,1,4.990921553497942,75.85079488168724,167,v4-dev
39079910,26471,useless,wojtask9,1525836236,1,29,1,1.19603716563786,77.36476929012348,167,v4-dev
39077660,26470,useful,Chochita,1525833093,26,1298,92,200.29649048353937,56.59779758230453,143,reboot-cursor
38953856,26462,useful,Johann-S,1525647657,1,2,1,0.6695290637860083,6.818654963991769,10,v3.4.0-dev
38953422,26460,useful,Johann-S,1525646849,2,4,1,0,7.82404179526749,11,v3.4.0-dev
38848582,26452,useful,domq,1525402788,2,8,1,1.9488034979423867,85.72261008230458,171,v4-dev
